Date	P1	P2	P3	P4	P5
01/01/2000	0.0030228	0.25089	0.046621	1.1045	2.265
01/02/2000	0.18609	0.45906	0.16562	1.1544	2.4535
01/03/2000	0.19951	0.53432	0.15073	1.6078	4.3377
01/04/2000	0.70255	0.87626	0.26457	2.0092	6.1543
01/05/2000	0.009033	0.74974	0.13932	0.91241	3.414
01/06/2000	0.01	0.83	0.15423	0.047462	0.29245
01/07/2000	2.7	1.74	0.39259	0.44298	0.55948
01/08/2000	3.9086	2.5782	1.8958	1.5609	0.65296
01/09/2000	3.766	2.4416	2.6163	2.4816	1.6145
01/10/2000	4.5281	3.7395	4.5531	3.7805	2.7531
01/11/2000	4.8022	3.3922	4.223	3.1581	1.9304
01/12/2000	5.8122	4.0926	5.0751	4.0523	3.9732
01/13/2000	7.1415	5.1854	7.1238	6.291	7.1318
01/14/2000	9.7293	6.6151	9.1355	6.945	8.0268
01/15/2000	10.14	6.9	9.6464	7.325	8.0489
01/16/2000	8.3067	5.6669	7.9023	6.0006	7.7932
01/17/2000	4.6573	3.2253	4.4044	3.3132	4.036
01/18/2000	2.9599	2.0272	2.6975	2.056	2.6443
01/19/2000	1.6344	1.1546	1.5615	1.1732	1.1604
01/20/2000	0.86781	0.64573	0.82557	0.62689	0.39362
01/21/2000	0.80467	0.62121	0.7655	0.58128	0.11531
01/22/2000	0	0.08	0	0	0
01/23/2000	0	0	0	0.047462	0
01/24/2000	0.012091	0.027205	0.0084765	0.033115	0.037452
01/25/2000	0.014179	0.031903	0.011302	0.027564	0.10345
01/26/2000	0.020906	0.047038	0.014656	0.010668	0.11543
01/27/2000	0.026413	0.059429	0.018517	0.0059357	0.1713
01/28/2000	0.036132	0.081297	0.02533	0.0045896	0.31907
01/29/2000	0.04	0.09	0.028042	0	0.34332
01/30/2000	0.030446	0.064522	0.028042	0	0.30192
01/31/2000	0.021335	0.043274	0.022914	0	0.18431
02/01/2000	0.01748	0.032782	0.023269	0	0.14229
02/02/2000	0.018316	0.032176	0.028042	0	0.18014
02/03/2000	0.01	0.01	0.028042	0	0.13987
02/04/2000	0.0074947	0.0074947	0.021017	0	0.11858
02/05/2000	0.0050584	0.0050584	0.014185	0	0.06426
02/06/2000	0.0037019	0.0037019	0.010381	0	0.034176
02/07/2000	0.0035305	0.0035305	0.0099002	0	0.025786
